,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
dmsA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
cyoB,40.20996044350991,40.20996044350991,40.20996044350991,42.894382664186224,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
glpD,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
trpB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
poxB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
sgcE,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
gudP,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
adhP,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
fhuC,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
adiA,41.650629114901314,41.650629114901314,41.650629114901314,44.33819674485007,32.69182724866077,32.69182724866077,32.69182724866077,35.37937489373252
fbp,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
hycB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
grxA,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.735444065947654
tynA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nagB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
mutT,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cobS,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ompN,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
xdhA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
phoA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
lldD,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
glpE,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
yeaE,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
fepG,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
hyaC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
yehX,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nanE,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gcvH,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ddlA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
mobA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thiC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyfG,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
galP,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
mngB,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
putA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
nhaB,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
malY,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
cysA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
kefC,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
pdxA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
gpmA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
fruK,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
thiM,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
narY,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
dsbA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
zntA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
acs,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
potB,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
atoB,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
glpK,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
setA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271574,33.05105785271574,33.05105785271574,35.73544406594769
glgP,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
aroP,41.94598631419363,41.94598631419363,41.94598631419363,44.626983372859115,33.00908459317127,33.00908459317127,33.00908459317127,35.690061764558166
panC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.73544406594772
cobC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.73544406594772
gudX,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.73544406594772
fdnH,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.73544406594772
yrbG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnH,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
xdhB,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
caiT,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
manY,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
trxC,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
pstA,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
xapB,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
xylE,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
astD,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
arnB,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
ulaE,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
cobU,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
avtA,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
menF,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
dsdA,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
arnT,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
malP,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
sdhB,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
gabD,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
tonB,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
yhfW,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
sbp,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
gltS,41.99932383835656,41.99932383835656,41.99932383835656,44.68372998947553,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
cyoC,40.209960443509935,40.209960443509935,40.209960443509935,42.89438266418623,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
uxaC,41.99932383835661,41.99932383835661,41.99932383835661,44.6837299894756,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
alsE,41.99932383835661,41.99932383835661,41.99932383835661,44.6837299894756,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
fumA,41.99932383835661,41.99932383835661,41.99932383835661,44.6837299894756,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
sodB,41.99932383835661,41.99932383835661,41.99932383835661,44.6837299894756,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
ndk,41.99932383835661,41.99932383835661,41.99932383835661,44.6837299894756,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
uxaA,41.99932383835661,41.99932383835661,41.99932383835661,44.6837299894756,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
yaaJ,41.99932383835661,41.99932383835661,41.99932383835661,44.6837299894756,33.051057852715786,33.051057852715786,33.051057852715786,35.73544406594771
livJ,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
pstB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
mltF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
plsB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
mdaB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gpt,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ppk,40.78455413156421,40.78455413156421,40.78455413156421,43.39131771668238,32.09486193593921,32.09486193593921,32.09486193593921,34.70158651584068
focA,41.99932383835662,41.99932383835662,41.99932383835662,44.68372998947555,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
apt,41.99932383835662,41.99932383835662,41.99932383835662,44.68372998947555,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
tauB,41.99932383835662,41.99932383835662,41.99932383835662,44.68372998947555,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
