,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
zntA,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
acs,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
potB,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
atoB,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
glpK,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
setA,41.99932383835664,41.99932383835664,41.99932383835664,44.683729989475594,33.05105785271574,33.05105785271574,33.05105785271574,35.735444065947625
talA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
dhaL,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
glnA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
rffG,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
fadL,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nuoF,39.425779075358,39.425779075358,39.425779075358,41.22497950573898,32.22845653171804,32.22845653171804,32.22845653171804,34.02762788691717
bglA,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
fumC,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
mglC,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
fepB,41.99932383835659,41.99932383835659,41.99932383835659,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
